02/07/2023 16:59:090, alarmId: 22, tagValue: 11.068524, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:59:152, alarmId: 15, tagValue: 11.068524, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:59:154, alarmId: 16, tagValue: 11.068524, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:59:156, alarmId: 17, tagValue: 11.068524, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:59:447, alarmId: 22, tagValue: 11.068524, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:59:506, alarmId: 15, tagValue: 11.068524, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:59:508, alarmId: 16, tagValue: 11.068524, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:59:510, alarmId: 17, tagValue: 11.068524, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:59:786, alarmId: 23, tagValue: 63.616795, alarmType: HIGH, threshold: 11, priority: 1
02/07/2023 16:59:799, alarmId: 22, tagValue: 11.068524, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:59:800, alarmId: 12, tagValue: 33.053448, alarmType: LOW, threshold: 44, priority: 1
02/07/2023 16:59:862, alarmId: 15, tagValue: 11.068524, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:59:864, alarmId: 16, tagValue: 11.068524, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:59:866, alarmId: 17, tagValue: 11.068524, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:00:166, alarmId: 22, tagValue: 111, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:00:214, alarmId: 15, tagValue: 111, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:00:217, alarmId: 16, tagValue: 111, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:00:219, alarmId: 17, tagValue: 111, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:00:532, alarmId: 22, tagValue: 111, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:00:569, alarmId: 15, tagValue: 111, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:00:571, alarmId: 16, tagValue: 111, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:00:573, alarmId: 17, tagValue: 111, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:00:903, alarmId: 22, tagValue: 111, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:00:924, alarmId: 15, tagValue: 111, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:00:926, alarmId: 16, tagValue: 111, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:00:928, alarmId: 17, tagValue: 111, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:01:275, alarmId: 22, tagValue: 110.93148, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:01:279, alarmId: 15, tagValue: 110.93148, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:01:281, alarmId: 16, tagValue: 110.93148, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:01:283, alarmId: 17, tagValue: 110.93148, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:01:639, alarmId: 15, tagValue: 110.93148, alarmType: LOW, threshold: 2333, priority: 3
